Loaded catalog: 135 municipalities
[Province 12 - Castellón/Castelló] 0/135 already completed
[Castellón/Castelló 1/135] AÍN
  WARNING: Failed to download boletin 9444458 (status=200, first bytes=b'\r\n\r\n\r\n\r\n<!DOCTYPE ht')
  WARNING: Failed to download boletin 8536866 (status=200, first bytes=b'\r\n\r\n\r\n\r\n<!DOCTYPE ht')
  WARNING: Failed to download boletin 7686731 (status=200, first bytes=b'\r\n\r\n\r\n\r\n<!DOCTYPE ht')
  WARNING: Failed to download boletin 6898339 (status=200, first bytes=b'\r\n\r\n\r\n\r\n<!DOCTYPE ht')
  WARNING: Failed to download boletin 16315494 (status=200, first bytes=b'\r\n\r\n\r\n\r\n<!DOCTYPE ht')
  WARNING: Failed to download boletin 14558068 (status=200, first bytes=b'\r\n\r\n\r\n\r\n<!DOCTYPE ht')
  WARNING: Failed to download boletin 13032710 (status=200, first bytes=b'\r\n\r\n\r\n\r\n<!DOCTYPE ht')
  WARNING: Failed to download boletin 17069482 (status=200, first bytes=b'\r\n\r\n\r\n\r\n<!DOCTYPE ht')
  WARNING: Failed to download boletin 16140805 (status=200, first bytes=b'\r\n\r\n\r\n\r\n<!DOCTYPE ht')
  WARNING: Failed to download boletin 15307016 (status=200, first bytes=b'\r\n\r\n\r\n\r\n<!DOCTYPE ht')
  WARNING: Failed to download boletin 14226124 (status=200, first bytes=b'\r\n\r\n\r\n\r\n<!DOCTYPE ht')
  WARNING: Failed to download boletin 13544497 (status=200, first bytes=b'\r\n\r\n\r\n\r\n<!DOCTYPE ht')
  WARNING: Failed to download boletin 12912921 (status=200, first bytes=b'\r\n\r\n\r\n\r\n<!DOCTYPE ht')
  WARNING: Failed to download boletin 12663830 (status=200, first bytes=b'\r\n\r\n\r\n\r\n<!DOCTYPE ht')
  WARNING: Failed to download boletin 11933180 (status=200, first bytes=b'\r\n\r\n\r\n\r\n<!DOCTYPE ht')
  WARNING: Failed to download boletin 11529620 (status=200, first bytes=b'\r\n\r\n\r\n\r\n<!DOCTYPE ht')
  WARNING: Failed to download boletin 10885461 (status=200, first bytes=b'\r\n\r\n\r\n\r\n<!DOCTYPE ht')
