municipio_code,lat,lon,kind
12013,40.0715027,-0.4812821,centroide_nominatim_historico
12014,40.4565353,-0.1319619,centroide_nominatim_historico
12015,40.0541046,-0.3499998,centroide_nominatim_historico
12016,39.8911264,-0.2576603,centroide_nominatim_historico
12017,39.9985635,-0.3744545,centroide_nominatim_historico
12018,39.8344623,-0.3692385,centroide_nominatim_historico
12020,40.0162238,-0.6975982,centroide_nominatim_historico
12021,39.9288397,-0.1974253,centroide_nominatim_historico
12022,39.9097775,-0.7078361,centroide_nominatim_historico
12024,39.9349547,-0.577643,centroide_nominatim_historico
12025,40.2766359,-0.2089684,centroide_nominatim_historico
12026,40.3796457,-0.1422927,centroide_nominatim_historico
12027,40.4180244,0.4229813,centroide_nominatim_historico
12028,40.0554183,0.0644655,centroide_nominatim_historico
12029,40.2112756,0.0270647,centroide_nominatim_historico
12032,39.8876912,-0.0846321,centroide_nominatim_historico
12033,40.1564567,0.0437829,centroide_nominatim_historico
12034,40.4619719,0.3548686,centroide_nominatim_historico
12036,40.5508926,0.2429452,centroide_nominatim_historico
12037,40.6608092,0.0428379,centroide_nominatim_historico
12038,40.5022457,-0.1910962,centroide_nominatim_historico
12039,39.8620764,-0.4574769,centroide_nominatim_historico
12040,39.9860347,-0.0377354,centroide_nominatim_historico
12041,40.1304975,-0.3803927,centroide_nominatim_historico
12042,40.4715653,0.0228594,centroide_nominatim_historico
12043,39.947341,-0.5683782,centroide_nominatim_historico
12044,40.4543718,0.2775055,centroide_nominatim_historico
12045,40.5825853,-0.2161136,centroide_nominatim_historico
12046,40.0552625,-0.4624359,centroide_nominatim_historico
12048,40.1864989,-0.5425913,centroide_nominatim_historico
12049,40.1200736,-0.1735358,centroide_nominatim_historico
12050,40.3101086,0.1217432,centroide_nominatim_historico
12051,40.3373914,-0.1651408,centroide_nominatim_historico
12052,40.5186118,0.1585541,centroide_nominatim_historico
12053,39.7819689,-0.1876428,centroide_nominatim_historico
12055,40.2453957,-0.2874577,centroide_nominatim_historico
12056,39.8509369,-0.3200757,centroide_nominatim_historico
12057,39.8794321,-0.3079326,centroide_nominatim_historico
12058,40.0266307,-0.3554859,centroide_nominatim_historico
12059,40.0191953,-0.3160437,centroide_nominatim_historico
12060,40.1174043,-0.2380778,centroide_nominatim_historico
12061,40.6460917,-0.199565,centroide_nominatim_historico
12063,40.0639186,-0.609029,centroide_nominatim_historico
12064,40.0208981,-0.4197803,centroide_nominatim_historico
12065,39.9264703,-0.4956292,centroide_nominatim_historico
12067,39.8375285,-0.4672257,centroide_nominatim_historico
12068,40.7207302,-0.0043748,centroide_nominatim_historico
12069,39.9841331,-0.5024074,centroide_nominatim_historico
12070,40.512287,0.2524664,centroide_nominatim_historico
12071,39.9117383,-0.5718739,centroide_nominatim_historico
12072,40.1380471,-0.2803675,centroide_nominatim_historico
12073,40.0868846,-0.3717111,centroide_nominatim_historico
12074,39.7686633,-0.2060316,centroide_nominatim_historico
12075,40.6002323,-0.282173,centroide_nominatim_historico
12076,39.9376751,-0.4686984,centroide_nominatim_historico
12077,39.808205,-0.1452657,centroide_nominatim_historico
12078,40.0356894,-0.5542466,centroide_nominatim_historico
12079,40.068152,-0.522929,centroide_nominatim_historico
12080,40.6188277,-0.0998026,centroide_nominatim_historico
12081,39.8769924,-0.5075395,centroide_nominatim_historico
12082,39.8532265,-0.1550092,centroide_nominatim_historico
12083,40.6376304,-0.3398792,centroide_nominatim_historico
12084,39.965214,-0.2625745,centroide_nominatim_historico
12085,40.0932078,0.1358123,centroide_nominatim_historico
12087,40.7173669,-0.1790528,centroide_nominatim_historico
12088,39.9733262,-0.4820162,centroide_nominatim_historico
12089,40.3577844,0.4073793,centroide_nominatim_historico
12090,40.0209763,-0.6549547,centroide_nominatim_historico
12091,40.5328003,-0.2621835,centroide_nominatim_historico
12092,40.1048933,-0.5927755,centroide_nominatim_historico
12093,39.977126,-0.0653705,centroide_nominatim_historico
12094,40.1026879,-0.0014726,centroide_nominatim_historico
12095,40.0220526,-0.2782945,centroide_nominatim_historico
12096,40.61827,0.2214019,centroide_nominatim_historico
12097,39.8521576,-0.7144275,centroide_nominatim_historico
12098,40.4177148,0.1740316,centroide_nominatim_historico
12099,40.5087496,0.331352,centroide_nominatim_historico
12100,40.4650329,0.1793192,centroide_nominatim_historico
12101,40.6069932,0.3491633,centroide_nominatim_historico
12102,40.3561602,0.3028876,centroide_nominatim_historico
12103,40.3127349,0.0311219,centroide_nominatim_historico
12104,39.8519011,-0.4895537,centroide_nominatim_historico
12105,40.2696396,-0.0190324,centroide_nominatim_historico
12106,39.8156407,-0.4300063,centroide_nominatim_historico
12107,39.8048407,-0.4103204,centroide_nominatim_historico
12108,39.952339,-0.3322962,centroide_nominatim_historico
12109,39.9480872,-0.3076291,centroide_nominatim_historico
12110,39.9002632,-0.6577111,centroide_nominatim_historico
12111,40.4234553,0.0779913,centroide_nominatim_historico
12112,40.6469756,-0.2467637,centroide_nominatim_historico
12113,40.0421248,-0.3669719,centroide_nominatim_historico
12114,39.919459,-0.6856672,centroide_nominatim_historico
12115,39.9824584,-0.748406,centroide_nominatim_historico
12116,39.9887744,-0.4382786,centroide_nominatim_historico
12117,40.2202661,0.1953363,centroide_nominatim_historico
12119,40.3283469,-0.0746511,centroide_nominatim_historico
12120,40.2669779,0.0680891,centroide_nominatim_historico
12121,40.5246503,0.2899844,centroide_nominatim_historico
12122,40.1572436,-0.1628262,centroide_nominatim_historico
12123,40.0304928,-0.3368007,centroide_nominatim_historico
12124,40.1758674,-0.0351001,centroide_nominatim_historico
12125,39.9036644,-0.4572788,centroide_nominatim_historico
12126,39.8209011,-0.2319275,centroide_nominatim_historico
12127,40.6030803,0.0465541,centroide_nominatim_historico
12128,40.1125962,-0.0530464,centroide_nominatim_historico
12129,40.4270481,-0.2577181,centroide_nominatim_historico
12130,40.2029553,-0.4182829,centroide_nominatim_historico
12131,39.9648022,-0.3953669,centroide_nominatim_historico
12132,40.2309678,0.072647,centroide_nominatim_historico
12133,40.0593289,-0.6474483,centroide_nominatim_historico
12134,40.3579581,-0.0658739,centroide_nominatim_historico
12135,39.9372616,-0.1004465,centroide_nominatim_historico
12136,39.8587438,-0.1831882,centroide_nominatim_historico
12137,40.6762953,-0.2006783,centroide_nominatim_historico
12138,40.4703992,0.4746076,centroide_nominatim_historico
12139,40.2937407,-0.2920742,centroide_nominatim_historico
12140,39.9212618,-0.5982244,centroide_nominatim_historico
12141,40.7287128,-0.166284,centroide_nominatim_historico
12142,40.1319864,-0.4189382,centroide_nominatim_historico
12901,39.8962767,-0.1147361,centroide_nominatim_historico
12902,40.0607474,-0.1373779,centroide_nominatim_historico
13001,38.8794942,-4.3557024,centroide_nominatim_historico
13002,38.9820148,-4.8698279,centroide_nominatim_historico
13003,38.6780447,-4.7899773,centroide_nominatim_historico
13004,38.617876,-2.806439,centroide_nominatim_historico
13005,39.3899806,-3.2101376,centroide_nominatim_historico
13006,39.2601129,-4.4769042,centroide_nominatim_historico
13007,38.9861733,-4.1152469,centroide_nominatim_historico
13008,38.7524763,-3.1343704,centroide_nominatim_historico
13009,38.7380137,-3.8391468,centroide_nominatim_historico
13010,38.8995809,-3.0528676,centroide_nominatim_historico
13011,38.7742489,-4.832835,centroide_nominatim_historico
13012,38.7378377,-4.7102688,centroide_nominatim_historico
13013,38.888238,-3.7118218,centroide_nominatim_historico
13014,38.6240327,-2.954419,centroide_nominatim_historico
13015,38.7083953,-4.1760555,centroide_nominatim_historico
13016,38.5129637,-3.4967642,centroide_nominatim_historico
13018,39.2193056,-3.5027025,centroide_nominatim_historico
13019,39.1286071,-3.0903226,centroide_nominatim_historico
13020,38.7268428,-4.0792825,centroide_nominatim_historico
13021,39.1549315,-4.5428754,centroide_nominatim_historico
13022,38.8354727,-3.944602,centroide_nominatim_historico
13023,38.9062533,-3.6629811,centroide_nominatim_historico
13024,38.6570361,-4.2935853,centroide_nominatim_historico
13026,38.6149564,-4.1835844,centroide_nominatim_historico
13027,38.7043087,-3.7766972,centroide_nominatim_historico
13028,39.4052539,-3.1254826,centroide_nominatim_historico
13029,38.8543572,-4.0209377,centroide_nominatim_historico
13030,38.8452505,-4.0633818,centroide_nominatim_historico
13031,39.0183225,-3.8168257,centroide_nominatim_historico
13032,38.8420035,-2.9915308,centroide_nominatim_historico
13033,38.5391616,-3.2755109,centroide_nominatim_historico
13034,38.9854201,-3.9285138,centroide_nominatim_historico
13035,38.8573077,-4.0807008,centroide_nominatim_historico
13036,39.3160383,-4.0662575,centroide_nominatim_historico
13037,38.6608157,-3.0735807,centroide_nominatim_historico
13038,38.7967523,-4.8669119,centroide_nominatim_historico
13039,39.072196,-3.6143611,centroide_nominatim_historico
13040,39.1225007,-3.9010957,centroide_nominatim_historico
13041,39.2194954,-4.5164688,centroide_nominatim_historico
13042,38.405028,-4.3049563,centroide_nominatim_historico
13043,38.7559532,-2.9583867,centroide_nominatim_historico
13044,39.2276397,-3.7741252,centroide_nominatim_historico
13045,38.7958912,-3.7429733,centroide_nominatim_historico
13046,38.7259178,-4.9733507,centroide_nominatim_historico
13047,39.3679627,-3.3550331,centroide_nominatim_historico
13048,38.6135415,-4.1387605,centroide_nominatim_historico
13049,39.3264887,-4.6500868,centroide_nominatim_historico
13050,39.2744812,-3.5187184,centroide_nominatim_historico
13051,38.9844387,-4.2925731,centroide_nominatim_historico
13052,39.1688771,-3.8512824,centroide_nominatim_historico
13053,38.9962242,-3.3722143,centroide_nominatim_historico
13054,38.9724781,-3.3464983,centroide_nominatim_historico
13055,38.5751666,-4.0699752,centroide_nominatim_historico
13056,38.9648147,-3.8898604,centroide_nominatim_historico
13057,38.6981474,-2.8653097,centroide_nominatim_historico
13058,38.8293937,-3.5793395,centroide_nominatim_historico
13059,39.2256128,-4.5907981,centroide_nominatim_historico
13060,39.4944354,-4.5210142,centroide_nominatim_historico
13061,39.4060954,-2.9474164,centroide_nominatim_historico
13062,39.0497719,-4.0603127,centroide_nominatim_historico
13063,39.0344592,-4.1753284,centroide_nominatim_historico
13064,38.9351817,-3.9812082,centroide_nominatim_historico
13065,39.1467218,-4.153826,centroide_nominatim_historico
13066,38.9119565,-3.8371496,centroide_nominatim_historico
13067,38.9130124,-4.1919373,centroide_nominatim_historico
13068,39.0823124,-4.6168415,centroide_nominatim_historico
13069,38.5665118,-2.9252461,centroide_nominatim_historico
13070,39.3243594,-3.4817078,centroide_nominatim_historico
13071,38.6852161,-4.1111749,centroide_nominatim_historico
13072,39.4620946,-4.40999,centroide_nominatim_historico
13073,38.9434102,-4.6083053,centroide_nominatim_historico
13074,38.8443306,-3.2416783,centroide_nominatim_historico
13075,38.4767039,-3.8249484,centroide_nominatim_historico
13076,38.636664,-2.8669824,centroide_nominatim_historico
