geonameid,name,asciiname,alternatenames,lat,lon,feature_class,feature_code,admin1,admin2,admin3,admin4,provincia_ine,population
2509555,Villanueva del Arzobispo,Villanueva del Arzobispo,Villanueva del Arzobispo,38.16842,-3.00742,P,PPLA3,51,J,23097,,23,8716
2509556,Villanueva del Ariscal,Villanueva del Ariscal,Villanueva del Ariscal,37.39623,-6.14077,P,PPLA3,51,SE,41098,,41,5471
2509558,Villanueva de la Jara,Villanueva de la Jara,"Vil'januehva-de-la-Khara,Vil'janueva-de-la-Khara,Villanueva de la Jara,fylanywfa dy la khara,ha la xin zhen,Вильянуэва-де-ла-Хара,Вільянуева-де-ла-Хара,فيلانيوفا دي لا خارا,哈拉新镇",39.43333,-1.93333,P,PPLA3,54,CU,16251,,16,2166
2509560,Villanueva de la Fuente,Villanueva de la Fuente,Villanueva de la Fuente,38.69463,-2.69637,P,PPLA3,54,CR,13092,,13,2602
2509561,Villanueva de la Concepción,Villanueva de la Concepcion,"Villanueva de la Concepcion,Villanueva de la Concepción",36.93027,-4.53041,P,PPLA3,51,MA,29902,,29,0
2509562,Villanueva de Córdoba,Villanueva de Cordoba,"Villanueva de Cordoba,Villanueva de Cordova,Villanueva de Córdoba,Villanueva de Córdova",38.32277,-4.62873,P,PPLA3,51,CO,14069,,14,10057
2509565,Villanueva de Bogas,Villanueva de Bogas,Villanueva de Bogas,39.72347,-3.65743,P,PPLA3,54,TO,45193,,45,816
2509566,Villanueva de Algaidas,Villanueva de Algaidas,,37.1835,-4.45032,P,PPLA3,51,MA,29095,,29,4421
2509567,Villanueva de Alcardete,Villanueva de Alcardete,"Villanueva de Alcardete,Villanueva del Cardete",39.67321,-3.01445,P,PPLA3,54,TO,45192,,45,3658
2509569,Villamuelas,Villamuelas,Villamuelas,39.81784,-3.73461,P,PPLA3,54,TO,45191,,45,729
2509570,Villaminaya,Villaminaya,Villaminaya,39.71197,-3.87055,P,PPLA3,54,TO,45190,,45,589
2509571,Villamiel de Toledo,Villamiel de Toledo,Villamiel de Toledo,39.96482,-4.12627,P,PPLA3,54,TO,45189,,45,725
2509572,Villamesías,Villamesias,"Villamesias,Villamesías",39.24568,-5.87307,P,PPLA3,57,CC,10209,,10,348
2509573,Villamayor de Santiago,Villamayor de Santiago,Villamayor de Santiago,39.73072,-2.92357,P,PPLA3,54,CU,16249,,16,2766
2509574,Villamayor de Calatrava,Villamayor de Calatrava,Villamayor de Calatrava,38.78763,-4.13774,P,PPLA3,54,CR,13091,,13,618
2509575,Villamartín,Villamartin,"Villamartin,Villamartín",36.85979,-5.64485,P,PPLA3,51,CA,11041,,11,12526
2509576,Vilamarxant,Vilamarxant,"Vilamarxant,Villamarchante",39.56916,-0.62453,P,PPLA3,60,V,46256,,46,6730
2509577,Villamanrique de la Condesa,Villamanrique de la Condesa,"Villamanrique,Villamanrique de la Condesa",37.24481,-6.30665,P,PPLA3,51,SE,41097,,41,3779
2509578,Villamanrique,Villamanrique,Villamanrique,38.54636,-2.99729,P,PPLA3,54,CR,13090,,13,1506
2509579,Villamalur,Villamalur,"Vil'jamalur,Vilamalur,Villamalur,Villamaluz,bi li ya ma lu er,fylamalwr,Вильямалур,Вільямалур,فيلامالور,比利亚马卢尔",39.96667,-0.4,P,PPLA3,60,CS,12131,,12,105
2509580,Villamalea,Villamalea,Villamalea,39.36667,-1.58333,P,PPLA3,54,AB,02079,,02,3955
2509581,Villaluenga del Rosario,Villaluenga del Rosario,Villaluenga del Rosario,36.69644,-5.38601,P,PPLA3,51,CA,11040,,11,495
2509582,Villalpardo,Villalpardo,Villalpardo,39.46667,-1.63333,P,PPLA3,54,CU,16248,,16,1153
2509583,Villalonga,Villalonga,"Vilallonga,Villalonga",38.88566,-0.20795,P,PPLA3,60,V,46255,,46,3996
2509585,Villalgordo del Marquesado,Villalgordo del Marquesado,Villalgordo del Marquesado,39.68245,-2.50885,P,PPLA3,54,CU,16247,,16,114
2509586,Villalba de los Barros,Villalba de los Barros,Villalba de los Barros,38.61294,-6.50914,P,PPLA3,57,BA,06152,,06,1691
2509587,Villalba del Alcor,Villalba del Alcor,Villalba del Alcor,37.39731,-6.47461,P,PPLA3,51,H,21074,,21,3406
2509588,Villajoyosa,Villajoyosa,"La Vila Joiosa,Villajoyosa",38.50754,-0.23346,P,PPLA3,60,A,03139,,03,33797
2509590,Villaharta,Villaharta,Villaharta,38.13333,-4.9,P,PPLA3,51,CO,14068,,14,606
2509592,Villagonzalo,Villagonzalo,Villagonzalo,38.86329,-6.19665,P,PPLA3,57,BA,06151,,06,1344
2509593,Villagarcía del Llano,Villagarcia del Llano,"Villagarcia,Villagarcia del Llano,Villagarcía,Villagarcía del Llano",39.31667,-1.83333,P,PPLA3,54,CU,16244,,16,939
2509594,Villagarcía de la Torre,Villagarcia de la Torre,"Villagarcia,Villagarcia de la Torre,Villagarcía de la Torre",38.3,-6.08333,P,PPLA3,57,BA,06150,,06,1011
2509597,Villafranca de los Caballeros,Villafranca de los Caballeros,,39.42824,-3.36079,P,PPLA3,54,TO,45187,,45,5181
2509598,Villafranca de los Barros,Villafranca de los Barros,Villafranca de los Barros,38.56144,-6.3381,P,PPLA3,57,BA,06149,,06,13356
2509599,Villafranca de Córdoba,Villafranca de Cordoba,"Villafranca de Cordoba,Villafranca de Córdoba",37.96257,-4.54547,P,PPLA3,51,CO,14067,,14,3799
2509600,Vilafranca de Bonany,Vilafranca de Bonany,"Vilafranca de Bonany,Villafranca",39.56894,3.08815,P,PPLA3,07,PM,07065,,07,2521
2509602,Villa de Ves,Villa de Ves,Villa de Ves,39.2,-1.23333,P,PPLA3,54,AB,02077,,02,78
2509603,Villa del Río,Villa del Rio,"Villa del Rio,Villa del Río",37.98108,-4.29003,P,PPLA3,51,CO,14066,,14,7407
2509604,Villa del Rey,Villa del Rey,Villa del Rey,39.65955,-6.82122,P,PPLA3,57,CC,10208,,10,139
2509606,Villacarrillo,Villacarrillo,"Vil'jakarril'jo,Vil'jakarril'o,Villacarillo,Villacarrillo,bi li ya ka li e,byyakaryyw,fyakaryw,Вильякаррильо,Вільякаррільйо,بییاکارییو,فياكاريو,比利亚卡里略",38.1156,-3.0848,P,PPLA3,51,J,23095,,23,11294
2509607,Es Castell,Es Castell,"Es Castell,Vilacarlos,Villacarlos",39.8776,4.2899,P,PPLA3,07,PM,07064,,07,7440
2509608,Villacañas,Villacanas,,39.62367,-3.33813,P,PPLA3,54,TO,45185,,45,10645
2509609,Villablanca,Villablanca,Villablanca,37.30239,-7.34413,P,PPLA3,51,H,21073,,21,2286
2509615,Vilches,Vilches,"Vil'ches,Vilches,bi er qie si,bylchs,fyltshys,Вильчес,Вільчес,Վիլչես,بیلچس,فيلتشيس,比尔切斯",38.20695,-3.51025,P,PPLA3,51,J,23094,,23,4929
2509617,Vilaflor,Vilaflor,"Vilaflor,Villaflor",28.15623,-16.63592,P,PPLA3,53,TF,38052,,38,1981
2509650,Vícar,Vicar,"Vikar,bi ka er,bykar,Викар,Вікар,بيكار,بیکار,比卡尔",36.83155,-2.64273,P,PPLA3,51,AL,04102,,04,22853
2509660,Viator,Viator,,36.89006,-2.42695,P,PPLA3,51,AL,04101,,04,3945
2509693,Vera,Vera,,37.24345,-1.85905,P,PPLA3,51,AL,04100,,04,13985
2509710,Ventas de Huelma,Ventas de Huelma,Ventas de Huelma,37.0684,-3.81983,P,PPLA3,51,GR,18185,,18,659
2509728,Venta del Moro,Venta del Moro,Venta del Moro,39.48333,-1.35,P,PPLA3,60,V,46254,,46,1493
2509769,Vélez-Málaga,Velez-Malaga,"Beleth-Malaga,Veles Malaga,Veles-Malaga,Velez-Malaga,Vélez-Màlaga,Vélez-Málaga,bei lai si-ma la jia,beresu=maraga,fylyth-malqt,Μπέλεθ-Μάλαγα,Вeлес-Мaлага,Велез-Малага,Велес-Малага,Վելես Մալագա,فيليث-مالقة,ベレス＝マラガ,贝莱斯-马拉加",36.78107,-4.10266,P,PPLA3,51,MA,29094,,29,74190
2509771,Vélez de Benaudalla,Velez de Benaudalla,"Velez Benahudalla,Velez Benandalla,Velez de Benaudalla,Velez de Benaudilla,Vélez Benandalla,Vélez de Benaudalla",36.83244,-3.51539,P,PPLA3,51,GR,18184,,18,2618
2509779,Velefique,Velefique,Velefique,37.19407,-2.40155,P,PPLA3,51,AL,04097,,04,246
2509781,Velada,Velada,Velada,39.97687,-4.97641,P,PPLA3,54,TO,45181,,45,2429
