geonameid,name,asciiname,alternatenames,lat,lon,feature_class,feature_code,admin1,admin2,admin3,admin4,provincia_ine,population
3119312,Lantero,Lantero,,43.33577,-6.83196,P,PPL,34,O,33029,,33,0
3119313,Lanteiro,Lanteiro,Lanteiro,43.45056,-6.98096,P,PPL,34,O,33017,,33,0
3119314,Lantarou,Lantarou,"Lantaron,Lantarou,Lantarón",42.86351,-8.92917,P,PPL,58,C,15062,,15,0
3119315,Lantaño,Lantano,"Lantano,Lantaño,San Pedro",42.56667,-8.66667,P,PPL,58,PO,36040,,36,0
3119316,Lantadilla,Lantadilla,,42.34078,-4.27866,P,PPLA3,55,P,34092,,34,442
3119317,Lanseros,Lanseros,Lanseros,42.06624,-6.40982,P,PPL,55,ZA,49112,,49,0
3119318,La Nou de Gaia,La Nou de Gaia,,41.18333,1.38333,P,PPL,56,T,43111,,43,0
3119319,la Nou de Berguedà,la Nou de Bergueda,"la Nou de Bergueda,la Nou de Berguedà",42.16667,1.88333,P,PPL,56,B,08142,,08,0
3119320,La Nora,La Nora,,42.16617,-5.82572,P,PPL,55,LE,24003,,24,0
3119323,Laño,Lano,"Lanu,Lañu",42.66363,-2.62178,P,PPL,55,BU,09109,,09,0
3119324,La Nisal,La Nisal,,43.29432,-5.72127,P,PPL,34,O,33031,,33,0
3119325,La Nisal,La Nisal,,43.15122,-6.45674,P,PPL,34,O,33011,,33,0
3119326,Langullo,Langullo,Langullo,42.30297,-7.20257,P,PPL,58,OR,32044,,32,0
3119327,Languilla,Languilla,Languilla,41.44926,-3.42438,P,PPLA3,55,SG,40109,,40,116
3119328,Langueirón,Langueiron,,43.23855,-8.83134,P,PPL,58,C,15068,,15,0
3119329,Langueirón,Langueiron,"Langueiron,Langueirón,Longueiron,Longueirón",43.04976,-8.9256,P,PPL,58,C,15093,,15,0
3119332,Langre,Langre,Langre,43.47355,-3.69904,P,PPL,39,S,39061,,39,0
3119333,Langre,Langre,Langre,42.73547,-6.56573,P,PPL,55,LE,24019,,24,0
3119334,Langosto,Langosto,Langosto,41.88603,-2.61514,P,PPL,55,SO,42160,,42,0
3119336,Langayo,Langayo,Langayo,41.56986,-4.19866,P,PPLA3,55,VA,47077,,47,392
3119337,Langarika,Langarica,"Langarica,Langarika",42.83555,-2.4297,P,PPL,59,VI,01027,,01,0
3119338,Langa del Castillo,Langa del Castillo,"Langa,Langa del Castillo",41.212,-1.3985,P,PPLA3,52,Z,50134,,50,177
3119339,Langa de Duero,Langa de Duero,"Langa,Langa de Duero,Langa-de-Duehro,Langa-de-Duero,Larga de Duero,lan jia de du ai luo,Ланга-де-Дуеро,Ланга-де-Дуэро,兰加德杜埃罗",41.60985,-3.40061,P,PPLA3,55,SO,42103,,42,876
3119340,Langa,Langa,Langa,41.0055,-4.85946,P,PPLA3,55,AV,05109,,05,550
3119341,Lanestosa,Lanestosa,Lanestosa,43.21986,-3.4392,P,PPLA3,59,BI,48051,,48,0
3119342,Láneo,Laneo,"Laneo,Láneo",43.36667,-6.15,P,PPL,34,O,33005,,33,0
3119344,Landrove,Landrove,"Landrove,San Julian,San Julián",43.63333,-7.6,P,PPL,58,LU,27066,,27,0
3119345,Landriz,Landriz,,43.13522,-7.27977,P,PPL,58,LU,27046,,27,0
3119346,Landraves,Landraves,,42.91407,-3.74256,P,PPL,55,BU,09413,,09,0
3119347,Landoi,Landoi,Santiago,43.7,-7.9,P,PPL,58,C,15061,,15,0
3119348,Landoiro,Landoiro,Landoiro,42.62713,-6.80726,P,PPL,55,LE,24209,,24,0
